IntZone,CAName
S02001236,Aberdeen City
S02001237,Aberdeen City
S02001238,Aberdeen City
S02001239,Aberdeen City
S02001240,Aberdeen City
S02001241,Aberdeen City
S02001242,Aberdeen City
S02001243,Aberdeen City
S02001244,Aberdeen City
S02001245,Aberdeen City
S02001246,Aberdeen City
S02001247,Aberdeen City
S02001248,Aberdeen City
S02001249,Aberdeen City
S02001250,Aberdeen City
S02001251,Aberdeen City
S02001252,Aberdeen City
S02001253,Aberdeen City
S02001254,Aberdeen City
S02001255,Aberdeen City
S02001256,Aberdeen City
S02001257,Aberdeen City
S02001258,Aberdeen City
S02001259,Aberdeen City
S02001260,Aberdeen City
S02001261,Aberdeen City
S02001262,Aberdeen City
S02001263,Aberdeen City
S02001264,Aberdeen City
S02001265,Aberdeen City
S02001266,Aberdeen City
S02001267,Aberdeen City
S02001268,Aberdeen City
S02001269,Aberdeen City
S02001270,Aberdeen City
S02001271,Aberdeen City
S02001272,Aberdeen City
S02001273,Aberdeen City
S02001274,Aberdeen City
S02001275,Aberdeen City
S02001276,Aberdeen City
S02001277,Aberdeen City
S02001278,Aberdeen City
S02001279,Aberdeen City
S02001280,Aberdeen City
S02001281,Aberdeen City
S02001282,Aberdeen City
S02001283,Aberdeen City
S02001284,Aberdeen City
S02001285,Aberdeenshire
S02001286,Aberdeenshire
S02001287,Aberdeenshire
S02001288,Aberdeenshire
S02001289,Aberdeenshire
S02001290,Aberdeenshire
S02001291,Aberdeenshire
S02001292,Aberdeenshire
S02001293,Aberdeenshire
S02001294,Aberdeenshire
S02001295,Aberdeenshire
S02001296,Aberdeenshire
S02001297,Aberdeenshire
S02001298,Aberdeenshire
S02001299,Aberdeenshire
S02001300,Aberdeenshire
S02001301,Aberdeenshire
S02001302,Aberdeenshire
S02001303,Aberdeenshire
S02001304,Aberdeenshire
S02001305,Aberdeenshire
S02001306,Aberdeenshire
S02001307,Aberdeenshire
S02001308,Aberdeenshire
S02001309,Aberdeenshire
S02001310,Aberdeenshire
S02001311,Aberdeenshire
S02001312,Aberdeenshire
S02001313,Aberdeenshire
S02001314,Aberdeenshire
S02001315,Aberdeenshire
S02001316,Aberdeenshire
