Data_Zone,Council_area,SMR
S01006506,Aberdeen City,67
S01006507,Aberdeen City,86
S01006508,Aberdeen City,43
S01006509,Aberdeen City,88
S01006510,Aberdeen City,149
S01006511,Aberdeen City,68
S01006512,Aberdeen City,77
S01006513,Aberdeen City,137
S01006514,Aberdeen City,86
S01006515,Aberdeen City,61
S01006516,Aberdeen City,35
S01006517,Aberdeen City,60
S01006518,Aberdeen City,53
S01006519,Aberdeen City,73
S01006520,Aberdeen City,27
S01006521,Aberdeen City,61
S01006522,Aberdeen City,65
S01006523,Aberdeen City,60
S01006524,Aberdeen City,119
S01006525,Aberdeen City,64
S01006526,Aberdeen City,130
S01006527,Aberdeen City,118
S01006528,Aberdeen City,101
S01006529,Aberdeen City,132
S01006530,Aberdeen City,123
S01006531,Aberdeen City,104
S01006532,Aberdeen City,79
S01006533,Aberdeen City,47
S01006534,Aberdeen City,81
S01006535,Aberdeen City,81
S01006536,Aberdeen City,69
S01006537,Aberdeen City,62
S01006538,Aberdeen City,76
S01006539,Aberdeen City,128
S01006540,Aberdeen City,70
S01006541,Aberdeen City,63
S01006542,Aberdeen City,69
S01006543,Aberdeen City,62
S01006544,Aberdeen City,94
S01006545,Aberdeen City,72
S01006546,Aberdeen City,61
S01006547,Aberdeen City,96
S01006548,Aberdeen City,69
S01006549,Aberdeen City,68
S01006550,Aberdeen City,92
S01006551,Aberdeen City,109
S01006552,Aberdeen City,47
S01006553,Aberdeen City,90
S01006554,Aberdeen City,102
S01006555,Aberdeen City,115
S01006556,Aberdeen City,112
S01006557,Aberdeen City,112
S01006558,Aberdeen City,79
S01006559,Aberdeen City,43
S01006560,Aberdeen City,110
S01006561,Aberdeen City,61
S01006562,Aberdeen City,82
S01006563,Aberdeen City,239
S01006564,Aberdeen City,98
S01006565,Aberdeen City,94
S01006566,Aberdeen City,86
S01006567,Aberdeen City,186
S01006568,Aberdeen City,70
S01006569,Aberdeen City,62
S01006570,Aberdeen City,97
S01006571,Aberdeen City,61
S01006572,Aberdeen City,61
S01006573,Aberdeen City,60
S01006574,Aberdeen City,87
S01006575,Aberdeen City,89
S01006576,Aberdeen City,91
S01006577,Aberdeen City,59
S01006578,Aberdeen City,102
S01006579,Aberdeen City,116
S01006580,Aberdeen City,65
S01006581,Aberdeen City,63
S01006582,Aberdeen City,92
S01006583,Aberdeen City,95
S01006584,Aberdeen City,74
S01006585,Aberdeen City,133
S01006586,Aberdeen City,132
S01006587,Aberdeen City,237
S01006588,Aberdeen City,91
S01006589,Aberdeen City,113
S01006590,Aberdeen City,95
S01006591,Aberdeen City,118
S01006592,Aberdeen City,49
S01006593,Aberdeen City,117
S01006594,Aberdeen City,107
S01006595,Aberdeen City,116
S01006596,Aberdeen City,111
S01006597,Aberdeen City,51
S01006598,Aberdeen City,63
S01006599,Aberdeen City,75
S01006600,Aberdeen City,126
S01006601,Aberdeen City,69
S01006602,Aberdeen City,90
S01006603,Aberdeen City,109
S01006604,Aberdeen City,96
S01006605,Aberdeen City,96
S01006606,Aberdeen City,101
S01006607,Aberdeen City,63
S01006608,Aberdeen City,74
S01006609,Aberdeen City,111
S01006610,Aberdeen City,94
S01006611,Aberdeen City,128
