"Table 11: Numbers and crude rates1 of deaths involving COVID-19, by Intermediate Zone, between 1st March 2020 and 31st August 20202",,,,,,,,,,,,,
,,,,,,,,,,,,,
Intermediate Zone code,Name of Intermediate Zone,Local Authority,Number of Deaths,Population (2019 based),"rate per 100,000 population",,,,,,,,
,,,,,,,,,,,,,
S02001236,Culter,Aberdeen City,1,"4,733",21.1,,,,,,,,
S02001237,"Cults, Bieldside and Milltimber West",Aberdeen City,0,"4,831",0.0,,,,,,,,
S02001238,"Cults, Bieldside and Milltimber East",Aberdeen City,2,"6,840",29.2,,,,,,,,
S02001239,Garthdee,Aberdeen City,3,"5,581",53.8,,,,,,,,
S02001240,"Braeside, Mannofield, Broomhill and Seafield East",Aberdeen City,0,"4,487",0.0,,,,,,,,
S02001241,"Braeside, Mannofield, Broomhill and Seafield South",Aberdeen City,1,"4,008",25.0,,,,,,,,
S02001242,"Braeside, Mannofield, Broomhill and Seafield North",Aberdeen City,1,"5,040",19.8,,,,,,,,
S02001243,Hazlehead,Aberdeen City,5,"5,648",88.5,,,,,,,,
S02001244,Summerhill,Aberdeen City,2,"3,801",52.6,,,,,,,,
S02001245,Midstocket,Aberdeen City,1,"4,544",22.0,,,,,,,,
S02001246,Rosemount,Aberdeen City,0,"5,605",0.0,,,,,,,,
S02001247,West End North,Aberdeen City,0,"3,647",0.0,,,,,,,,
S02001248,West End South,Aberdeen City,1,"6,266",16.0,,,,,,,,
S02001249,City Centre West,Aberdeen City,0,"3,949",0.0,,,,,,,,
S02001250,City Centre East,Aberdeen City,0,"2,541",0.0,,,,,,,,
S02001251,Ferryhill North,Aberdeen City,2,"4,991",40.1,,,,,,,,
S02001252,Ferryhill South,Aberdeen City,1,"4,949",20.2,,,,,,,,
S02001253,"Kincorth, Leggart and Nigg North",Aberdeen City,4,"3,938",101.6,,,,,,,,
S02001254,"Kincorth, Leggart and Nigg South",Aberdeen City,0,"5,072",0.0,,,,,,,,
S02001255,Cove South,Aberdeen City,0,"3,987",0.0,,,,,,,,
S02001256,Cove North,Aberdeen City,0,"3,505",0.0,,,,,,,,
S02001257,Torry West,Aberdeen City,15,"5,284",283.9,,,,,,,,
S02001258,Torry East,Aberdeen City,1,"4,312",23.2,,,,,,,,
S02001259,Hanover South,Aberdeen City,0,"3,282",0.0,,,,,,,,
S02001260,Hanover North,Aberdeen City,0,"4,042",0.0,,,,,,,,
S02001261,George Street,Aberdeen City,4,"7,105",56.3,,,,,,,,
S02001262,Ashgrove,Aberdeen City,0,"3,785",0.0,,,,,,,,
