InterZone,MMWard,Council,SPConst,CHP,HBCode
S02001236,S13002484,S12000033,S16000076,S03000012,S08000020
S02001237,S13002484,S12000033,S16000076,S03000012,S08000020
S02001238,S13002484,S12000033,S16000076,S03000012,S08000020
S02001239,S13002486,S12000033,S16000076,S03000012,S08000020
S02001240,S13002486,S12000033,S16000074,S03000012,S08000020
S02001241,S13002486,S12000033,S16000076,S03000012,S08000020
S02001242,S13002485,S12000033,S16000076,S03000012,S08000020
S02001243,S13002485,S12000033,S16000076,S03000012,S08000020
S02001244,S13002478,S12000033,S16000075,S03000012,S08000020
S02001245,S13002482,S12000033,S16000074,S03000012,S08000020
S02001246,S13002482,S12000033,S16000074,S03000012,S08000020
S02001247,S13002485,S12000033,S16000074,S03000012,S08000020
S02001248,S13002485,S12000033,S16000074,S03000012,S08000020
S02001249,S13002482,S12000033,S16000074,S03000012,S08000020
S02001250,S13002483,S12000033,S16000074,S03000012,S08000020
S02001251,S13002487,S12000033,S16000074,S03000012,S08000020
S02001252,S13002487,S12000033,S16000074,S03000012,S08000020
S02001253,S13002488,S12000033,S16000076,S03000012,S08000020
S02001254,S13002488,S12000033,S16000076,S03000012,S08000020
S02001255,S13002488,S12000033,S16000076,S03000012,S08000020
S02001256,S13002488,S12000033,S16000076,S03000012,S08000020
S02001257,S13002487,S12000033,S16000076,S03000012,S08000020
S02001258,S13002487,S12000033,S16000076,S03000012,S08000020
S02001259,S13002483,S12000033,S16000074,S03000012,S08000020
S02001260,S13002483,S12000033,S16000074,S03000012,S08000020
S02001261,S13002483,S12000033,S16000074,S03000012,S08000020
S02001262,S13002482,S12000033,S16000074,S03000012,S08000020
S02001263,S13002481,S12000033,S16000074,S03000012,S08000020
S02001264,S13002481,S12000033,S16000074,S03000012,S08000020
S02001265,S13002481,S12000033,S16000074,S03000012,S08000020
S02001266,S13002481,S12000033,S16000074,S03000012,S08000020
S02001267,S13002480,S12000033,S16000075,S03000012,S08000020
S02001268,S13002480,S12000033,S16000075,S03000012,S08000020
S02001269,S13002480,S12000033,S16000074,S03000012,S08000020
