Generated by http://statistics.gov.scot,2020-09-18T09:14:04+00:00
http://statistics.gov.scot/data/low-birthweight,Low Birthweight
measure type,Ratio
Birth Weight,Low Weight Births
Measure (cell values): ,Ratio(Percent Of Births)

,,http://reference.data.gov.uk/id/gregorian-interval/2000-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2001-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2002-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2003-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2004-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2005-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2006-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2007-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2008-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2009-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2010-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2011-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2012-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2013-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2014-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2015-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2016-01-01T00:00:00/P3Y,http://reference.data.gov.uk/id/gregorian-interval/2017-01-01T00:00:00/P3Y
http://purl.org/linked-data/sdmx/2009/dimension#refArea,Reference Area,2000-2002,2001-2003,2002-2004,2003-2005,2004-2006,2005-2007,2006-2008,2007-2009,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016,2015-2017,2016-2018,2017-2019
http://statistics.gov.scot/id/statistical-geography/S92000003,Scotland,2.42,2.43,2.49,2.45,2.5,2.42,2.4,2.23,2.15,2.04,2.03,2.02,2.02,1.95,1.94,1.95,2.03,2.02
http://statistics.gov.scot/id/statistical-geography/S12000033,Aberdeen City,2.35,2.24,2.44,2.47,2.77,2.48,2.43,2.23,2.29,2.32,2.05,2.01,1.72,1.85,1.75,1.72,1.58,1.69
http://statistics.gov.scot/id/statistical-geography/S12000034,Aberdeenshire,1.84,1.83,2.08,1.83,1.79,1.65,1.56,1.5,1.19,1.27,1.21,1.51,1.45,1.55,1.41,1.45,1.42,1.44
http://statistics.gov.scot/id/statistical-geography/S12000041,Angus,1.25,1.56,1.74,2.18,2.18,2.26,2.1,1.68,1.37,1.32,1.57,1.95,1.78,1.45,1.16,1.35,1.53,1.51
http://statistics.gov.scot/id/statistical-geography/S12000035,Argyll and Bute,1.57,1.9,2.27,2.58,2.68,2.74,2.6,2.31,1.67,1.36,1.28,1.46,1.7,1.89,1.96,1.83,1.7,1.93
http://statistics.gov.scot/id/statistical-geography/S12000036,City of Edinburgh,2.31,2.25,2.24,2.26,2.35,2.4,2.43,2.33,2.17,1.89,1.76,1.65,1.72,1.51,1.51,1.64,1.67,1.67
http://statistics.gov.scot/id/statistical-geography/S12000005,Clackmannanshire,2.48,3.03,3.16,3.5,3.28,3.01,3.21,3.07,3.03,2.14,2.13,2.55,2.83,3.03,2.55,2.99,3.1,2.77
http://statistics.gov.scot/id/statistical-geography/S12000006,Dumfries and Galloway,1.98,2.03,2.01,1.88,2.14,2.06,1.86,1.58,1.39,1.56,1.61,1.68,1.73,1.9,1.9,2.07,2.23,2.41
http://statistics.gov.scot/id/statistical-geography/S12000042,Dundee City,3.09,2.97,2.93,2.36,2.47,2.44,2.68,2.49,2.62,2.37,2.45,1.93,2.3,2.47,2.74,2.65,2.43,2.36
http://statistics.gov.scot/id/statistical-geography/S12000008,East Ayrshire,2.4,2.06,2.25,1.95,1.91,2.01,2.1,2.2,2.08,2.21,2.23,2.21,2.03,1.67,1.52,1.8,2.02,2.36
http://statistics.gov.scot/id/statistical-geography/S12000045,East Dunbartonshire,2.02,2.46,2.38,1.88,1.71,1.46,1.48,1.63,1.74,1.88,1.7,1.45,1.5,1.52,1.84,1.7,1.44,1.16
http://statistics.gov.scot/id/statistical-geography/S12000010,East Lothian,1.91,1.97,1.83,1.89,2.14,2,2.14,1.74,1.89,1.66,1.76,1.69,1.73,1.43,1.66,1.43,1.66,1.7
http://statistics.gov.scot/id/statistical-geography/S12000011,East Renfrewshire,1.7,1.75,1.92,1.78,2.03,2.4,2.73,2.33,1.94,1.36,1.25,1.59,1.73,1.81,1.52,1.7,1.9,1.69
http://statistics.gov.scot/id/statistical-geography/S12000014,Falkirk,2.37,2.24,2.47,2.32,2.78,2.5,2.36,2.04,2.16,2.24,2.22,2.3,2.53,2.44,2.5,2.34,2.86,2.67
http://statistics.gov.scot/id/statistical-geography/S12000047,Fife,2.14,2.09,2.29,2.56,2.59,2.51,2.37,2.36,2.4,2.3,2.27,2.12,1.98,1.84,1.93,2.06,2.28,2.15
http://statistics.gov.scot/id/statistical-geography/S12000049,Glasgow City,3.49,3.54,3.59,3.61,3.71,3.44,3.4,3.04,3.02,2.6,2.53,2.51,2.67,2.68,2.58,2.47,2.54,2.48
http://statistics.gov.scot/id/statistical-geography/S12000017,Highland,2.21,2.34,2.31,2.52,2.21,1.95,1.82,1.81,2.13,2.17,2.05,1.57,1.35,1.45,1.66,1.78,1.88,1.93
http://statistics.gov.scot/id/statistical-geography/S12000018,Inverclyde,2.48,2.71,2.69,2.55,2.79,2.83,3.13,2.59,2.36,2.03,2.62,2.94,3.14,2.6,2.53,2.02,2.25,2.18
http://statistics.gov.scot/id/statistical-geography/S12000019,Midlothian,2.13,2.49,2.65,2.38,1.82,1.88,1.87,1.95,1.9,2.06,2.08,2.17,2.08,1.88,1.56,1.81,2,2.07
http://statistics.gov.scot/id/statistical-geography/S12000020,Moray,1.88,2.03,2.1,1.92,2.12,2.19,2.43,1.82,1.38,1.27,1.55,1.71,1.73,1.58,1.87,2.09,2.3,1.98
http://statistics.gov.scot/id/statistical-geography/S12000013,Na h-Eileanan Siar,1.57,2.37,2.14,2.3,2.07,1.84,1.45,1.4,1.22,1.13,0.64,1.08,1.63,1.44,1.29,0.99,1.51,1.89
http://statistics.gov.scot/id/statistical-geography/S12000021,North Ayrshire,2.44,2.46,2.35,2.2,2.27,2.21,2.46,2.26,2.41,2.34,2.4,2.46,2.1,2.13,1.76,2.42,2.47,2.71
http://statistics.gov.scot/id/statistical-geography/S12000050,North Lanarkshire,2.81,2.89,2.76,2.68,2.49,2.38,2.42,2.34,2.12,1.92,1.91,2.01,2.16,2.1,2.18,1.92,2.05,2.02
http://statistics.gov.scot/id/statistical-geography/S12000023,Orkney Islands,0.24,0.47,1.16,1.32,1.06,0.38,0.37,0.54,0.93,1.12,1.13,0.91,0.92,1.54,2.59,2.81,2.41,1.46
http://statistics.gov.scot/id/statistical-geography/S12000048,Perth and Kinross,1.97,1.78,1.74,1.67,1.75,1.76,1.73,1.54,1.5,1.46,1.68,1.65,1.56,1.47,1.43,1.69,2.02,2.08
http://statistics.gov.scot/id/statistical-geography/S12000038,Renfrewshire,2.57,2.39,2.44,2.6,2.7,2.91,2.88,2.73,2.5,2.46,2.6,2.7,2.65,2.59,2.84,2.7,2.59,2.13
http://statistics.gov.scot/id/statistical-geography/S12000026,Scottish Borders,2.08,2.22,2.28,2.34,2.44,2.32,2.28,2.6,2.49,2.28,1.82,1.85,1.92,1.69,1.61,1.39,1.26,1.36
http://statistics.gov.scot/id/statistical-geography/S12000027,Shetland Islands,1.47,1.28,1.26,0.95,0.95,1.05,0.91,0.88,0.72,1.11,1.4,1.82,1.42,0.98,0.62,0.9,0.79,0.97
http://statistics.gov.scot/id/statistical-geography/S12000028,South Ayrshire,2.25,2.09,1.95,1.63,1.68,1.87,1.92,1.86,1.66,1.74,1.82,1.81,1.96,1.73,1.55,1.36,1.66,1.91
http://statistics.gov.scot/id/statistical-geography/S12000029,South Lanarkshire,2.5,2.37,2.38,2.2,2.28,2.35,2.13,1.91,1.9,1.86,1.86,1.83,1.82,1.87,1.73,1.83,1.83,1.96
http://statistics.gov.scot/id/statistical-geography/S12000030,Stirling,1.73,1.57,1.43,1.72,2,1.99,1.98,2.02,1.95,1.97,1.74,1.82,1.78,1.66,1.66,1.27,1.51,1.28
http://statistics.gov.scot/id/statistical-geography/S12000039,West Dunbartonshire,3.02,3.18,3.41,3.15,3.09,2.88,2.86,2.3,2.1,2.21,2.43,2.04,2.02,2.06,2.5,2.66,2.74,2.46
http://statistics.gov.scot/id/statistical-geography/S12000040,West Lothian,2.56,2.42,2.52,2.39,2.47,2.41,2.29,2.16,1.97,2.29,2.58,2.71,2.46,1.95,1.92,1.92,1.94,2.08
